,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
56,-0.35705334,-0.3531438,-0.83540004,-0.86843365,-0.99557686,-1.0247808,-1.2928214,-0.311228,-0.3096758,-0.55879736,-0.041525938,-0.2162607,-1.3118371,0.16204707,0.2682028,-0.26295847,-1.0269408,-0.5857059,-1.1070546,-1.4569451,-1.4148192,-1.1273147,-0.7361604,-0.69192517,-0.020313952,-1.0473306,-1.0231782,-0.5931821,-1.0317768,-0.4709382,-0.6334382,-0.95508933,-0.32367086,-0.21570653,-0.13092722,0.23033008,0.2085142,-0.7720579,-0.75426245,-0.33841488,-0.14354466,-0.49216565,-1.3117785,-0.044373993,-0.4871006,-1.0198395,-1.0642445,-1.0416287
57,-0.880415,-0.9352467,-1.202876,-1.5101339,-0.8121177,-1.0247808,-1.2928214,-0.7085445,-0.3096758,-0.31654143,-0.27223498,0.056336265,-1.3118371,-0.26439565,-0.39131162,-0.26295847,-1.0269408,-0.7406533,-1.6308953,-2.1300702,-1.6208599,-1.1273147,-0.20271271,-1.0845675,-0.3104829,-1.2184632,-0.44907713,-1.0314941,-1.0317768,-0.8517517,-0.97769874,-0.5257289,-0.7120711,-0.3676111,-0.7200817,-0.24952343,-0.9643793,-0.5332774,-0.94505525,-0.47095278,-0.47226587,-0.6949787,-1.138721,-0.4358783,-0.65545464,-0.72790194,-1.0642445,-0.8443517
58,-0.7059611,-0.5471781,-0.46792403,-1.0823337,-0.44519958,-0.27126583,-0.692442,-0.7085445,-0.09056506,-0.55879736,-0.50294405,-0.48885766,-1.3118371,-0.47761703,-0.8309879,0.19304404,-0.8309593,-0.8956008,-1.4562818,-1.4569451,-1.4148192,-0.91594225,-0.20271271,-1.3463291,-0.60065186,-0.19166768,-0.06634307,-0.8123382,-1.0317768,-1.4229718,-1.4940897,-0.95508933,-0.9062713,-0.21570653,-0.7200817,-0.40947458,-1.3553438,-0.7720579,-0.5634697,-0.60349065,-0.14354466,-0.28935266,-1.138721,-0.4358783,-0.31874654,-0.72790194,-0.8984739,-0.6470746
59,-0.7059611,-0.5471781,-0.46792403,-0.86843365,-0.8121177,-0.4596446,-0.09206258,-0.50988626,-0.7478973,-0.8010533,-0.50294405,-1.0340515,-1.3118371,0.16204707,-0.6111497,-0.71896094,-0.04703363,-0.275811,-0.583214,-0.11069479,-0.5906566,-0.28182542,-0.5583445,-1.2154484,-1.0359052,-0.020535074,-0.2577101,-1.0314941,-1.6757463,-0.66134495,-1.149829,-0.95508933,-0.9062713,-0.3676111,-0.52369684,-0.40947458,0.2085142,-1.0108384,-1.3266406,-0.8685664,-0.47226587,-0.28935266,-0.9656636,-0.6968812,-0.4871006,-0.72790194,-1.3957858,-1.0416287
60,-0.008145582,0.03492475,0.4507659,0.4149666,-0.0782814,-0.0828871,0.10806391,0.48340496,-0.09056506,-0.8010533,0.1891831,0.056336265,-0.11199123,0.37526843,-0.17147347,0.42104524,0.54091066,0.0340839,-0.583214,-0.33506984,-0.38461593,-0.28182542,0.15291905,-0.69192517,-0.7457363,0.49286267,-0.44907713,0.28344223,-0.6024637,-0.4709382,-0.8055686,-0.5257289,0.64732987,0.8476255,-0.13092722,-0.24952343,0.99044317,-0.055716418,-0.372677,-0.47095278,-0.30790526,-0.086539656,-0.27343374,0.3471303,0.18631567,-0.14402662,-0.7327033,-0.8443517
61,-0.008145582,0.6170276,0.2670279,0.20106658,0.28863677,0.8590065,0.5083168,0.2847467,0.56676716,0.16797042,-0.041525938,0.056336265,0.7878931,-1.1172812,-1.2706641,1.105049,0.7368921,0.18903133,0.2898538,0.11368026,-0.17857526,0.5636637,0.86418253,0.09335961,0.70510846,0.49286267,0.5077581,0.7217544,0.4708189,0.2906887,-0.11704733,0.47611207,0.64732987,0.24000718,0.65461206,0.39028126,-0.1824503,-0.055716418,0.39049396,0.059198745,0.6782583,0.52189934,0.76491106,1.5216433,0.8597319,0.87775517,0.42769104,0.3393108
62,0.1663083,-0.3531438,0.08328992,0.20106658,-0.0782814,-0.6480233,0.5083168,0.2847467,0.12854569,0.6524823,-0.27223498,0.056336265,0.18797024,0.8017112,0.048364658,0.19304404,0.7368921,0.49892622,0.46446735,0.33805528,0.43954667,0.77503604,0.86418253,-0.16840199,-0.16539843,0.66399527,0.89049214,0.7217544,0.4708189,0.4810954,0.57147384,0.61923224,0.64732987,0.24000718,0.45822725,0.07037891,0.59947866,0.18306406,-0.5634697,-0.073339134,0.020815933,-0.086539656,0.41879612,0.21662886,-0.31874654,0.5858175,0.2619204,-0.05524336
63,0.1663083,-0.3531438,0.4507659,0.6288667,-0.26174048,-0.4596446,0.30819038,0.48340496,0.34765643,0.41022635,0.1891831,-0.2162607,-0.11199123,0.37526843,-0.17147347,0.64904654,0.1489478,0.18903133,-0.23398685,-0.11069479,-0.17857526,0.14091916,0.6863667,-1.2154484,-0.3104829,0.49286267,0.5077581,0.5025983,0.041505855,-0.4709382,-0.28917763,0.04675165,0.84153,0.8476255,0.06545761,-0.24952343,0.59947866,0.18306406,-0.372677,0.059198745,0.18517654,-0.086539656,0.07268117,0.086127445,-0.31874654,0.43984872,-0.5669327,-0.25252044
64,-0.35705334,-0.3531438,-0.28418604,-0.44063357,-0.26174048,-0.0828871,-0.09206258,-0.11256977,0.56676716,0.8947382,0.41989213,-0.2162607,-0.41195267,-0.26439565,-0.6111497,-0.26295847,-0.24301505,0.0340839,0.2898538,-0.33506984,-0.79669726,-0.28182542,0.6863667,-0.69192517,-0.3104829,0.15059751,0.5077581,-0.15486993,0.041505855,-1.0421584,-0.6334382,-0.23948863,0.06472943,-0.21570653,-0.52369684,-0.56942576,0.59947866,-0.055716418,-0.372677,-0.073339134,0.5138977,-0.28935266,-0.10037628,0.21662886,-0.15039246,0.7317864,-0.23539145,-0.05524336
65,-0.7059611,-0.5471781,-0.100448065,-0.22673352,-0.26174048,1.0473853,0.10806391,0.2847467,0.56676716,0.8947382,-0.041525938,-0.48885766,-0.11199123,-0.47761703,-1.050826,-0.26295847,-0.24301505,-0.12086355,0.63908094,0.11368026,-0.38461593,-0.4931977,0.33073494,-0.69192517,-1.0359052,-0.020535074,0.5077581,-0.15486993,-0.17315069,-1.4229718,-0.8055686,-0.0963685,-0.32367086,-0.06380196,-0.13092722,-0.40947458,0.99044317,-0.2944969,-0.372677,-0.073339134,-0.14354466,-0.28935266,-0.27343374,0.3471303,0.18631567,0.5858175,-0.069620825,-0.25252044
66,-0.7059611,-0.15910953,-0.46792403,-0.012833481,-0.44519958,1.0473853,-0.09206258,0.48340496,-0.09056506,0.41022635,-0.27223498,-0.48885766,0.18797024,-0.051174298,-0.6111497,-0.71896094,-0.4389965,-0.12086355,0.2898538,-0.11069479,-0.38461593,-0.70457,0.15291905,-0.69192517,-1.3260742,-0.36280024,-0.44907713,-0.8123382,-0.6024637,-1.994192,-0.97769874,0.04675165,-0.12947072,0.08810262,-0.7200817,-0.56942576,0.59947866,-0.5332774,-0.5634697,0.059198745,-0.47226587,-0.28935266,-0.10037628,0.3471303,-0.15039246,0.14791104,-0.40116206,-0.6470746
67,-0.7059611,-0.3531438,0.08328992,-0.012833481,0.105177686,1.0473853,0.70844334,0.2847467,0.12854569,0.41022635,-0.73365307,-0.2162607,0.48793173,-0.26439565,-0.6111497,-0.9469622,0.54091066,0.3439788,0.8136944,0.5624303,0.23350604,-0.07045313,0.15291905,-0.5610444,-0.3104829,0.3217301,-0.6404442,-1.0314941,-0.38780722,-1.4229718,-0.6334382,0.61923224,-0.12947072,-0.3676111,-0.7200817,-0.089572266,-0.1824503,-0.7720579,-0.18188426,-0.073339134,-0.6366265,-0.086539656,0.41879612,0.21662886,0.017961605,0.43984872,-0.069620825,-0.6470746
68,-0.008145582,0.03492475,1.3694558,0.20106658,0.65555495,0.29387036,1.9092021,1.8740126,0.34765643,1.8637619,1.3427283,1.1467241,1.6877776,1.6545967,1.8070697,0.42104524,1.3248364,0.49892622,1.3375351,0.33805528,1.0576686,0.14091916,1.0419985,0.09335961,0.70510846,2.7175863,0.6991251,-0.15486993,0.68547547,-1.0421584,0.055082954,1.6210732,1.4241304,1.6071484,0.65461206,0.5502324,0.99044317,1.6157469,0.39049396,0.7218881,-0.47226587,0.31908637,1.2840835,0.99963754,0.6913779,1.7535682,0.2619204,-0.4497975
